latlong,beautiful,boring,depressing,lively,safe,wealthy,lat,lon
"-38.698082039999996,-72.65464950666667",-0.10679145493202635,0.1008382005854167,0.07497386027879172,-0.0486008486113112,0.03605234184174799,-0.01237227556853382,-38.698082039999996,-72.65464950666667
"-38.69846708,-72.53323913333332",0.45299674722882965,0.19830201748693532,-0.1782062723928206,-0.3789660626234672,-0.08223136103454687,-0.06255449494726939,-38.69846708,-72.53323913333332
"-38.69846708,-72.53386495999999",0.06141840625097994,0.3822345714435849,0.1711030051350957,-0.7057782127786772,-0.4106864012571778,-0.4687571344183781,-38.69846708,-72.53386495999999
"-38.69846708,-72.53449078666667",-0.10845781076128813,0.22451266727542007,0.11992085024266097,-0.17875350070883256,-0.006809627646194194,-0.1550576525049474,-38.69846708,-72.53449078666667
"-38.69846708,-72.53511661333333",0.055166894221332585,0.2785357066767314,0.016294044654343365,-0.24162030874411933,0.02307568544159766,-0.11027595691817282,-38.69846708,-72.53511661333333
"-38.69846708,-72.54450401333332",-0.3206438626445225,0.44675520659308465,0.4494950043388726,-0.671636512377234,-0.4784249804725642,-0.581711962521795,-38.69846708,-72.54450401333332
"-38.69846708,-72.54512984",-0.17301948128910905,0.3860186447967992,0.20213256035583282,-0.2811891856255715,0.006405903083274822,-0.11417375221011872,-38.69846708,-72.54512984
"-38.69846708,-72.54575566666666",-0.27194000323871226,0.209749151895819,0.24423763155036604,-0.2122905606846226,-0.0846678944666972,-0.20601014901659243,-38.69846708,-72.54575566666666
"-38.69846708,-72.54700731999999",-0.10482506372949096,0.234670654949318,0.19819447737601492,-0.40115395794079134,-0.25354698135718845,-0.3069668974113904,-38.69846708,-72.54700731999999
"-38.69846708,-72.54763314666666",0.1631147840778504,-0.39464524219313935,-0.23862887994149506,0.3642115813141582,0.11918027104024276,0.24863395171480152,-38.69846708,-72.54763314666666
"-38.69846708,-72.54825897333333",0.0832965967239554,-0.15593466444054682,-0.12859385787547462,0.19069182689511655,0.08613817944523294,0.22591486688991402,-38.69846708,-72.54825897333333
"-38.69846708,-72.5488848",-0.4056537630034256,0.25759978661893207,0.2827646664608594,-0.08661551026775083,-0.0034933752410548635,-0.0972206120811594,-38.69846708,-72.5488848
"-38.69846708,-72.54951062666666",-0.09290286775625933,-0.02322661518511482,0.08779281912719705,0.046589444171655,-0.03663950252339543,0.0782025905275825,-38.69846708,-72.54951062666666
"-38.69846708,-72.59269266666666",1.1302449223536515,-0.2894019125310243,-0.8227392770038184,0.33203015201534614,0.5994692192159095,0.7602512487195199,-38.69846708,-72.59269266666666
"-38.69846708,-72.63650053333333",-0.020211293513519024,0.40369917049603143,0.24001657699443557,-0.5927439708923334,-0.30220199688222005,-0.3773500242651211,-38.69846708,-72.63650053333333
"-38.69846708,-72.63712636000001",0.2459493191979778,0.19824227510467696,0.006750922868895337,-0.43492464158805,-0.251022779831255,-0.1781612566458044,-38.69846708,-72.63712636000001
"-38.69846708,-72.65339785333335",-0.02959406182107216,0.2995701305581367,0.1790107729541779,-0.5264923193062461,-0.3399467411125514,-0.45118204789329974,-38.69846708,-72.65339785333335
"-38.69846708,-72.65402368000001",-0.04705187115601972,0.28158596264575275,0.10349991987147233,-0.20874127401530274,0.04785125417804981,-0.001264921765653071,-38.69846708,-72.65402368000001
"-38.69885212,-72.53449078666667",0.045901546835129814,0.46087236589527203,0.21726327791018285,-0.6627103904997053,-0.299929464334445,-0.33295695786584556,-38.69885212,-72.53449078666667
"-38.69885212,-72.53511661333333",-0.3356041573748971,0.2321825284241683,0.2600281338451347,-0.16504626759411778,-0.11107053029666636,-0.2100110325391955,-38.69885212,-72.53511661333333
"-38.69885212,-72.53574243999999",0.2475034505535092,0.08196339547449005,-0.18591654059257268,0.08429199878296867,0.2784561302085633,0.27427556681114806,-38.69885212,-72.53574243999999
"-38.69885212,-72.54512984",-0.21986433568586405,0.4084197497319344,0.36718587270648495,-0.6239987665195232,-0.41212224253652874,-0.4844516223409099,-38.69885212,-72.54512984
"-38.69885212,-72.54575566666666",-0.30827232416317285,0.24732084171043822,0.27035178282956873,-0.2312824330922889,-0.10354321277399103,-0.20832495332602585,-38.69885212,-72.54575566666666
"-38.69885212,-72.54700731999999",0.7369495229902228,0.11218303333584928,-0.46005597305407697,0.022757408018079905,0.51025983833991,0.5836646523312528,-38.69885212,-72.54700731999999
"-38.69885212,-72.54763314666666",-0.361450979000308,-0.22694580095732664,0.1089017273698707,0.27393342936181475,0.05233218163468978,0.025667116732393858,-38.69885212,-72.54763314666666
"-38.69885212,-72.54825897333333",-0.15973942206608305,0.03916933711484438,0.13820131738021346,-0.04075752077706163,-0.03506985535398188,0.08235002955286874,-38.69885212,-72.54825897333333
"-38.69885212,-72.5488848",-0.3493556251598229,-0.0768036680336045,0.21540719746841797,0.12385480724612763,-0.08341144178597415,0.0027220242011067874,-38.69885212,-72.5488848
"-38.69885212,-72.54951062666666",-0.4717781915077608,-0.014111380330776968,0.29096833760070195,0.17202306180620974,-0.0799288182922615,0.03103657473355992,-38.69885212,-72.54951062666666
