latlong,beautiful,boring,depressing,lively,safe,wealthy,lat,lon,node_id,division,lat_trans,lon_trans,ismtpn
"-38.72118444,-72.61021581333334",-0.3134304667324876,0.4444876819530762,0.3441397687067091,-0.4721983197789732,-0.2582962669848003,-0.3661262494240758,-38.72118444,-72.61021581333334,730272085,Temuco,-8082932.250729967,-4681811.962917718,0.428245065456399
"-38.72118444,-72.61084164",-0.2518227209968573,0.4284420269533234,0.276935832511374,-0.3832371624633255,-0.1665810375203831,-0.2901806429878357,-38.72118444,-72.61084164,730271767,Temuco,-8083001.917435826,-4681811.962917718,0.428245065456399
"-38.72118444,-72.61209329333333",-0.2765863115943896,0.264158518678787,0.2657912222549281,-0.3499686368306844,-0.2876892081289171,-0.3423008777806366,-38.72118444,-72.61209329333333,730272035,Temuco,-8083141.250847541,-4681811.962917718,0.428245065456399
"-38.72156948,-72.60958998666666",-0.0903519983629739,0.4053920547689349,0.2585079383814137,-0.6463119359301741,-0.3980849063649003,-0.503821687294304,-38.72156948,-72.60958998666666,8504902956,Temuco,-8082862.584024108,-4681866.900904608,0.428245065456399
"-38.72156948,-72.61021581333334",0.2256644374435668,0.0062398909632981,-0.1509320308166248,-0.0443776807942435,0.0925324213432725,0.1191266142903666,-38.72156948,-72.61021581333334,1043199896,Temuco,-8082932.250729967,-4681866.900904608,0.428245065456399
"-38.72156948,-72.61084164",0.0702875874103232,-0.2136067189131656,-0.1284763921053839,0.2228658866637973,0.0420916990742687,0.169271030258467,-38.72156948,-72.61084164,8504902962,Temuco,-8083001.917435826,-4681866.900904608,0.428245065456399
"-38.72156948,-72.61146746666667",-0.2795910607932488,0.4457691315529078,0.3849940114433761,-0.4543881818937139,-0.2230773961802168,-0.3680818049035468,-38.72156948,-72.61146746666667,730272249,Temuco,-8083071.584141684,-4681866.900904608,0.428245065456399
"-38.72195452,-72.60896416",0.5307104842922272,-0.062345677585238,-0.3160446866469368,-0.0936586930597838,-0.023820388412405,0.1299966073471032,-38.72195452,-72.60896416,1134171626,Temuco,-8082792.917318251,-4681921.839187509,0.428245065456399
"-38.72195452,-72.60958998666666",0.2920115616381054,0.1061772185558827,-0.1471872043826496,-0.1682749369761065,0.0159767400291355,0.0475637850784584,-38.72195452,-72.60958998666666,1134171602,Temuco,-8082862.584024108,-4681921.839187509,0.428245065456399
"-38.72195452,-72.61021581333334",-0.1436957343275151,0.2523106234132865,0.1596060920848081,-0.3265601469185761,-0.2415225657033644,-0.2931666618821613,-38.72195452,-72.61021581333334,1043199896,Temuco,-8082932.250729967,-4681921.839187509,0.428245065456399
